Protein accession	Sequence MD5 digest	sequence length	Analysis	Signature accession	signature description	Start location	Stop location	Score	Status	Data	InterPro annotations accession	InterPro annotations description	NCBI annotation	species
Cluster-13398.32558	b5bddab66fd669a8b0b0417529a0a0c0	1221	SMART	SM00825	Beta-ketoacyl synthase	339	760	2.10E-24	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.32558	b5bddab66fd669a8b0b0417529a0a0c0	1221	SUPERFAMILY	SSF53901	Thiolase-like	333	756	1.37E-43	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-23416.0	3718ea649b713bfdaa159bcb5cac10d9	175	MobiDBLite	mobidb-lite	consensus disorder prediction	152	175	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-17250.0	9fbfefecc4f8f434d3551f76f9a74b51	48	MobiDBLite	mobidb-lite	consensus disorder prediction	31	48	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-17250.0	9fbfefecc4f8f434d3551f76f9a74b51	48	MobiDBLite	mobidb-lite	consensus disorder prediction	1	48	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-17250.0	9fbfefecc4f8f434d3551f76f9a74b51	48	MobiDBLite	mobidb-lite	consensus disorder prediction	1	15	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	285	528	2.60E-35	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	SUPERFAMILY	SSF53901	Thiolase-like	505	712	1.28E-25	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	551	667	4.10E-11	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	Gene3D	G3DSA:3.40.47.10	-	277	738	1.50E-87	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	PANTHER	PTHR43775	FATTY ACID SYNTHASE	281	727	2.60E-69	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	13	221	5.10E-30	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	SMART	SM00825	Beta-ketoacyl synthase	285	713	4.10E-19	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	CDD	cd00833	PKS	285	712	6.31E-74	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.52964	1a45e0b220e89a4036c158b9449db5c9	1135	SUPERFAMILY	SSF53901	Thiolase-like	282	530	5.76E-37	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	SUPERFAMILY	SSF53901	Thiolase-like	617	824	5.42E-27	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	660	767	1.30E-17	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	MobiDBLite	mobidb-lite	consensus disorder prediction	1	75	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	385	645	3.50E-21	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	SUPERFAMILY	SSF53901	Thiolase-like	386	644	2.74E-18	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	Gene3D	G3DSA:3.40.47.10	-	373	831	6.90E-65	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	CDD	cd00833	PKS	386	824	8.15E-50	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	PANTHER	PTHR43775	FATTY ACID SYNTHASE	379	824	4.50E-49	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.48140	44d5072253e305b7cdfbb4cc79b0c531	1270	SMART	SM00825	Beta-ketoacyl synthase	384	815	2.70E-12	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-5426.0	ad2737db7660592857a5c9c495b0c48e	49	Pfam	PF02797	"Chalcone and stilbene synthases, C-terminal domain"	1	40	2.50E-06	T	09-08-2021	IPR012328	"Chalcone/stilbene synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-5426.0	ad2737db7660592857a5c9c495b0c48e	49	Gene3D	G3DSA:3.40.47.10	-	1	44	6.30E-10	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-5426.0	ad2737db7660592857a5c9c495b0c48e	49	SUPERFAMILY	SSF53901	Thiolase-like	1	40	4.49E-08	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-3565.0	ad2737db7660592857a5c9c495b0c48e	49	Pfam	PF02797	"Chalcone and stilbene synthases, C-terminal domain"	1	40	2.50E-06	T	09-08-2021	IPR012328	"Chalcone/stilbene synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-3565.0	ad2737db7660592857a5c9c495b0c48e	49	Gene3D	G3DSA:3.40.47.10	-	1	44	6.30E-10	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-3565.0	ad2737db7660592857a5c9c495b0c48e	49	SUPERFAMILY	SSF53901	Thiolase-like	1	40	4.49E-08	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	CDD	cd00833	PKS	342	745	6.81E-90	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	585	700	1.10E-28	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	Gene3D	G3DSA:3.40.47.10	-	325	756	8.20E-98	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	PANTHER	PTHR43775	FATTY ACID SYNTHASE	321	745	5.60E-94	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	SUPERFAMILY	SSF53901	Thiolase-like	547	746	1.56E-40	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	SUPERFAMILY	SSF53901	Thiolase-like	328	574	7.20E-28	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	68	296	1.40E-72	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	SMART	SM00825	Beta-ketoacyl synthase	328	747	3.80E-23	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.40842	a85b0043e32f793108845dd2c2f1f44e	934	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	328	575	5.80E-33	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	559	678	1.20E-14	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	SMART	SM00825	Beta-ketoacyl synthase	306	724	1.80E-12	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	SUPERFAMILY	SSF53901	Thiolase-like	316	670	1.62E-28	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	21	231	6.00E-34	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	PANTHER	PTHR43775	FATTY ACID SYNTHASE	320	826	2.60E-64	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	CDD	cd00833	PKS	326	725	5.56E-62	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	319	539	1.00E-23	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076596|gb|AQS99270.1|	50178273678812b862ecb35125303622	1174	Gene3D	G3DSA:3.40.47.10	-	295	751	3.20E-76	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	890	909	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	110	129	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	1132	1156	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	Gene3D	G3DSA:3.40.47.10	-	316	798	2.50E-62	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	1076	1169	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	320	528	3.30E-12	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	549	606	7.80E-05	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	MobiDBLite	mobidb-lite	consensus disorder prediction	8	27	-	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	SUPERFAMILY	SSF81296	E set domains	816	859	4.90E-05	T	09-08-2021	IPR014756	Immunoglobulin E-set	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	SUPERFAMILY	SSF53901	Thiolase-like	321	603	1.02E-18	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	SMART	SM00825	Beta-ketoacyl synthase	325	771	2.50E-08	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	CDD	cd00833	PKS	325	780	4.44E-47	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	618	719	5.20E-14	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	SUPERFAMILY	SSF53901	Thiolase-like	574	783	1.03E-25	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076696|gb|AQS99320.1|	2ed2bc216689f4f0ceb3cecace57fd61	1169	PANTHER	PTHR43775	FATTY ACID SYNTHASE	309	785	7.60E-38	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	383	622	1.00E-24	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	Gene3D	G3DSA:3.40.47.10	-	359	815	2.60E-103	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	PANTHER	PTHR43775	FATTY ACID SYNTHASE	361	798	3.90E-96	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	88	323	3.00E-39	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	SUPERFAMILY	SSF53901	Thiolase-like	358	744	7.29E-42	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	641	753	1.60E-30	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	CDD	cd00833	PKS	384	797	6.09E-99	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.18462	4e5ab940fb00c972e3e057a69ec01b06	1269	SMART	SM00825	Beta-ketoacyl synthase	360	802	9.70E-27	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	622	739	4.90E-27	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	SMART	SM00825	Beta-ketoacyl synthase	358	777	2.80E-33	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	MobiDBLite	mobidb-lite	consensus disorder prediction	1217	1239	-	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	94	316	2.10E-34	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	Gene3D	G3DSA:3.40.47.10	-	351	827	2.40E-104	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	SUPERFAMILY	SSF53901	Thiolase-like	350	726	1.43E-46	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	356	608	3.30E-39	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	PANTHER	PTHR43775	FATTY ACID SYNTHASE	322	782	7.20E-97	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.37077	277fd7532ca3382aa7ee040681a95e41	1239	CDD	cd00833	PKS	358	782	1.27E-89	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	101	334	1.30E-52	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	642	754	4.40E-32	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	Gene3D	G3DSA:3.40.47.10	-	371	820	8.50E-120	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	374	627	4.10E-44	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	SUPERFAMILY	SSF53901	Thiolase-like	371	741	3.32E-53	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	CDD	cd00833	PKS	380	798	2.67E-124	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	SMART	SM00825	Beta-ketoacyl synthase	372	803	1.30E-58	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076500|gb|AQS99222.1|	3f2008c593a909d67b49c7164af629b2	1186	PANTHER	PTHR43775	FATTY ACID SYNTHASE	370	797	1.80E-114	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	360	610	6.90E-34	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	Gene3D	G3DSA:3.40.47.10	-	358	821	5.40E-104	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	PANTHER	PTHR43775	FATTY ACID SYNTHASE	361	780	3.00E-94	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	SUPERFAMILY	SSF53901	Thiolase-like	586	778	5.76E-43	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	623	736	1.10E-31	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	SUPERFAMILY	SSF53901	Thiolase-like	359	609	1.09E-28	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	SMART	SM00825	Beta-ketoacyl synthase	361	783	5.80E-22	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	CDD	cd00833	PKS	367	756	3.36E-87	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
gi|1149076638|gb|AQS99291.1|	b802a486b4133d0ff971536585ebe9e3	1170	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	108	330	2.20E-25	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	type I polyketide synthase [Gambierdiscus excentricus]	Gambierdiscus excentricus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	PANTHER	PTHR43775	FATTY ACID SYNTHASE	317	746	4.80E-119	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	Gene3D	G3DSA:3.40.47.10	-	322	771	7.00E-120	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	TIGRFAM	TIGR04556	PKS_assoc: polyketide synthase-associated domain	67	293	4.30E-67	T	09-08-2021	IPR030834	Polyketide synthase-associated domain	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	326	574	2.40E-41	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	CDD	cd00833	PKS	329	746	4.24E-119	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	SUPERFAMILY	SSF53901	Thiolase-like	322	696	1.98E-49	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	586	702	7.40E-31	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.6878	9aaf135aa1d0b2215753003efae69874	937	SMART	SM00825	Beta-ketoacyl synthase	329	751	3.80E-59	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	predicted ORF protein	Gambierdiscus caribaeus
gi|941355196|dbj|BAT21732.1|	618bbcb4517bb5ba47873d91319b5467	938	PANTHER	PTHR43775	FATTY ACID SYNTHASE	202	631	1.70E-48	T	09-08-2021	-	-	"polyketide synthase, partial [Karenia mikimotoi]"	Karenia mikimotoi
